user_id,helpful_vote
AHGAOIZVODNHYMNCBV4DECZH42UQ,0
AH3OG6QD6EDJGZRVCFKV4B66VWNQ,0
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,1
AGYEAZK4OEYF2MSSTGJ5WNJDVZKA,0
AFUB7CHTXRPD447QVQCHBZVN2IPQ,0
AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,2
AE7BV6IMNPZ3F266H7PXMH3BZQNQ,21
AEHZXP35GBAQS4TD74JRUOFZI7SA,1
AGJOKZFVJ665TS2NJFP46AJQJL3Q,1
AHT24MMCKVNZ7RGZ46LFEWBUPOFA,1
AFJOCZGYW6QFTYEYBZXCFZNWONKQ,0
AFTDSPCG32FV2VPWLEYPDQARTSQA,0
AGZFRAVHZY6FKJ7JUMJ6Y5R7HMHA,1
AFKJQMCY3HIYNHN3FEMLQXPGIPWA,1
AGGJ6SHNO3HLK5JODWEITQQJETKQ,1
AFX54TU2SL5JJ53SZ72G6PEMSOOA,0
AG6MS57RFS4F2MZ5XJUINK7J4YCQ,0
AGQANGDZQGK2IOWOXHOCTPBPQRKA,1
AENAC6DVZYNNTEGCPUA542BD46VA,0
AGH7IQ2Y3DY4I6FXD5KWXIYAN57A,0
AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,0
AFQMW57GEUJGFS6RKLFFPDRNAQFA,0
AGS47C3SO62X375JL7RWNBKCFXXA,0
AG3S4FROO422V5KP7DJCBXVUQLJQ,74
AHF23TTAPE3MPI45R2YET4OGHFTA,0
AEN2NKUOAXGNLLT6DCQDQ2LK7M6Q,0
AG25ZASYXSIF666IYOAOXJTTX2WQ,1
AEPTHE6UGTAHFEQTVNIB4K7H272Q,0
AHTBBASAHXHHOXKLSSZG2IPUDDFA,0
AGTMZCWIWBH43TCW7UKG2YV2EKKA,60
AGRQV4NXI76YDR247XG4QDXFO3JQ,0
AE36CH2CNKXKUUZSSDUBSFN5ARWQ,0
AF2BLE54TEMGZ546U763ZHZRXC4A,0
AFDNLNTANUGENK62RSTAQALJOWPQ,0
AHZZJQYNVZUJNPNQ737ITGEQUB4A,2
AE3ADG6WP7UYB54J3CRQ22BLQE3A,2
AE53BPYA42RVO7EG7MIR7AMUSZBQ,1
AGQPAYVT3UXTUMSX5NTDVXMUIIVQ,0
AEAVLSCYOUN57UZXZ5WEWPIAG35Q,0
AHTLWVDXSMG5YMVMEIWWOU6XBZMA,0
AH7UKE3JVRDLDME7ZEDCPVF7QS5Q,5
AGXPI72I5AC3HGO3L37BGW6IO4JA,0
AE2C3MK7LXEZJVB2UXM45QCI2TBQ,2
AEQFQDC2GL6C62Y5WNZFLB44GIBA,1
AGPRJ7DWS4UA6NBFXUN7TRUFQYEQ,0
AEMI74JHKARVZR5F3DVAK4FMANXQ,0
AHPUCPL5F3PBJDSOS2IJJVZU3FHQ,0
AEDJVPROO4BDZVXAVXWZI5IVCZQQ,0
AGOEOPHEQDQYEQEJFI53KFUDLZVA,4
AFG4JI5VU7OPZKQK6ZJOURYIPPFA,0
AFHYESNZHGG4F5AGDIC6CBLCIESQ,0
AEE3TDZND3EFQLDZE3NWYTHC44IA,0
AGWDYYVVWM3DC3CASUZKXK67G6IA,33
AGCO5AU5AVDFJKKVVX2TAYMDDP3Q,0
AG2ZGWAGJOGZN22KZ6CHW62URNOQ,0
AHI3B7VVKAJT3TUWF3LWAB5CAYAQ,0
AELA4HJK4R6EBP3P32E2IH5XNLGA,0
AHX4KAMYA2RV2IOYNWGUEUTX66XQ,1
AEZIW242EBVLBV24LA7FKYVN7YUQ,0
AF3QKQDBPOQRR3YKMXXVW5CHWFMA,0
AEV5QK5B6EOXF6DEG7V36PKN2VAQ,0
AHWQI5RDKU3AHHGKAKNLB6BMQSFQ,4
AFQIVYHWA34H6K3JDVAOYOXH534Q,0
AHKZ6FLSDFO7YUXHTRHM5BYTKJOA,0
AHGFYFT7I77M255JEL7XQW4KFU6A,3
AEBOX3VURJY6CTZCLHPYCTVADRNQ,0
AH2RTUHR6HFPDYZUTNZIG2BILG2Q,2
AHEWI2CRJXHPIYZWP6RYZ2FDCJZA,0
AHCMVKKF56LYDCDRWFNRQ3V2ZR5Q,0
AHMWCAGVFWRIQGRRLRL5KB7KVZPA,0
AGKTPA4K3NKKVKX3RHSW7ZBLZEXA,1
AECBGBU5TUVNJ2C7IXIN5UQBLITQ,1
AHZZPUYPNZQ7QXK55HGGE3Z7TTEA,0
AF7EY7M7BAOTHXN3K7K6R5WSVTVQ,0
AEYL33RQMQHQNHXTTQQNYFMZUB3A,0
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,13
AHMP47DAWWBKPNXNYUC7HRPZKRYQ,1
AEQP7BO3DYS6ET6ANKREYSJFAHSA,1
AFIO2BZVHQ63IEXQ7XA52UX7VWMQ,0
AFOAVWO4MITHAYNENA6SLWOJZ55Q,1
AHG32V5Z74FFKFLACRPEDM2FU5FA,0
AGZ5BQZVJ3C4LG3REK7X2WUYPOHA,0
AGZFKS2YWMNIDET6P3HH3BJPXGWA,1
AE5DK6FQTEOBBFONY64EW3ZFTYVQ,2
AE5VPKX64CVOPH6X75C7EQXAIGLA,0
AENH6LSB6BM7XLPEYUL43WBOD6JA,17
AGKHDQO3Q74QAOVEQEIZ3BMSDEBA,0
AGSP6LSQK32SQEJO3YVVNACPWMSQ,3
AFBUVEUIZZMKE2PC7D46LCM6C53Q,0
AELOFMVKR6FE7OOQGDPYGIFF6KVQ,1
AGAQA25V3AR7HU6RKJ72C5PUT5UQ,3
AH6X55ZNDYTAYPY6YE7RHM4U5EZQ,1
AHGONLBPMXIJRW3JUB6HO4UVPP6Q,0
AEHMQSTB6ESWFAT4AHROTV6M7VWA,0
AGZYNKTWTUPP4ZLJ77LH7TFL6Y5A,0
AEX3JEM4XNO3WY27QN2LIV7EKMKA,2
AE6FCNSLO27JTUJYWXMN7NTUBRWQ,0
AE2JT2433VWURU2CEQB4HKLZNDRQ,1
AGBZTGGZ7CGQHLNOZDVJNHRYDFPA,0
AFBFBKRVURIRVCVMHDOR4PFXXCDQ,3
AGAE6KDFMIALPBHFHEJKT4KJKEIA,1
AE52U34CK7FHXFZXLBV5T7EPLKPQ,6
AFYEQGWZLEEM3VICX4K7GEITCNDQ,0
AEM5YPNWRFZMTISA7MNO5Q55CERQ,2
AEKCPCESH56P72UAR4LSGD4SI3HQ,2
AFUSHNNLRNRO7Z45ICYGVQ5JU6EA,0
AE62UN4Q5JNY6V3J6BOXSW4XC3KA,0
